,county_name,zip,lat,lng,city,state_name,avg_risk_score_all
0,Hampden,1001,42.06262,-72.62521,Agawam,Massachusetts,2.82
1,Hampshire,1002,42.37633,-72.46462,Amherst,Massachusetts,1.53
2,Hampshire,1003,42.39135,-72.52327,Amherst,Massachusetts,1.64
3,Worcester,1005,42.42117,-72.10655,Barre,Massachusetts,2.02
4,Hampshire,1007,42.28163,-72.40009,Belchertown,Massachusetts,1.5
5,Hampden,1008,42.18234,-72.95819,Blandford,Massachusetts,1.54
6,Hampden,1009,42.21133,-72.34189,Bondsville,Massachusetts,1.96
7,Hampden,1010,42.12904,-72.20597,Brimfield,Massachusetts,2.08
8,Hampden,1011,42.30233,-72.96448,Chester,Massachusetts,3.06
9,Hampshire,1012,42.38495,-72.84675,Chesterfield,Massachusetts,1.53
10,Hampden,1013,42.16059,-72.60788,Chicopee,Massachusetts,1.83
11,Hampden,1020,42.17618,-72.56538,Chicopee,Massachusetts,1.37
12,Hampden,1022,42.19721,-72.54249,Chicopee,Massachusetts,2.24
13,Hampshire,1026,42.46858,-72.92296,Cummington,Massachusetts,2.72
14,Hampshire,1027,42.29506,-72.74303,Easthampton,Massachusetts,1.47
15,Hampden,1028,42.05967,-72.49899,East Longmeadow,Massachusetts,1.29
16,Berkshire,1029,42.19402,-73.05067,East Otis,Massachusetts,1.55
17,Hampden,1030,42.06869,-72.67967,Feeding Hills,Massachusetts,1.29
18,Worcester,1031,42.32782,-72.19191,Gilbertville,Massachusetts,1.7
19,Hampshire,1032,42.45313,-72.81965,Goshen,Massachusetts,1.64
20,Hampshire,1033,42.26082,-72.50361,Granby,Massachusetts,1.57
21,Hampden,1034,42.0826,-72.95611,Granville,Massachusetts,1.61
22,Hampshire,1035,42.35563,-72.5692,Hadley,Massachusetts,2.88
23,Hampden,1036,42.0638,-72.4157,Hampden,Massachusetts,2.08
24,Worcester,1037,42.37063,-72.19466,Hardwick,Massachusetts,1.52
25,Hampshire,1038,42.38466,-72.60559,Hatfield,Massachusetts,3.51
26,Hampshire,1039,42.41049,-72.69188,Haydenville,Massachusetts,2.49
27,Hampden,1040,42.21251,-72.64109,Holyoke,Massachusetts,1.93
28,Hampshire,1050,42.29092,-72.87526,Huntington,Massachusetts,2.76
29,Hampshire,1053,42.35205,-72.71032,Leeds,Massachusetts,2.38
30,Franklin,1054,42.47381,-72.48768,Leverett,Massachusetts,2.32
31,Hampden,1056,42.19211,-72.45805,Ludlow,Massachusetts,1.53
